,index,description,species,cleaned_text
516,619,"The wildlife trade has facilitated the introduction of invasive non-native species, which may compete with native species for resources and alter ecosystems. Some of these species have great potential to become invasive if released or escaped from captivity. Here we studied the pet trade in a group of open countryside birds, the mynas (Acridotheres spp.) in Indonesia, and identified the areas that are at high risk of facing the establishment of these species. Mynas are among the most invasive birds in Southeast Asia. Once established in a new area, they are almost impossible to eradicate and can have strong negative impacts on the ecosystem. Preventing their introduction is therefore essential. Yet, invasive non-native mynas continue to be traded openly. We present data on the trade in seven species of mynas on Java, Bali and Lombok, with three species being native to parts of one or two of these islands, but not to the remainder, and four that are non-native to the region. From 2016 to 2021 we conducted 255 surveys of 30 animal markets. We recorded over 6000 mynas that were offered for sale outside their native range. Areas most at risk because of their high prevalence in specific animal markets, are Greater Jakarta, eastern Java, Bali and Lombok. The number of invasive non-native mynas recorded was positively related to the size of the animal market. Indonesia is signatory to several international agreements (CBD, ASEAN) that have policies and guidelines to prevent the introduction of invasive non-native species, but compliancy is weak. Annually hundreds and possibly thousands of invasive non-native mynas are released by Indonesian conservation authorities in regions that are outside their native range. Effective management of, and regulation of trade in, potential invasive non-native birds in Indonesia falls short and inadvertently greatly aids both their introduction and establishment.",Javan Myna,"['wildlife', 'trade', 'facilitated', 'introduction', 'invasive', 'nonnative', 'species', 'may', 'compete', 'native', 'species', 'resources', 'alter', 'ecosystems', 'species', 'great', 'potential', 'become', 'invasive', 'released', 'escaped', 'captivity', 'studied', 'pet', 'trade', 'group', 'open', 'countryside', 'birds', 'mynas', 'acridotheres', 'spp', 'indonesia', 'identified', 'areas', 'high', 'risk', 'facing', 'establishment', 'species', 'mynas', 'among', 'invasive', 'birds', 'southeast', 'asia', 'established', 'new', 'area', 'almost', 'impossible', 'eradicate', 'strong', 'negative', 'impacts', 'ecosystem', 'preventing', 'introduction', 'therefore', 'essential', 'yet', 'invasive', 'nonnative', 'mynas', 'continue', 'traded', 'openly', 'present', 'data', 'trade', 'seven', 'species', 'mynas', 'java', 'bali', 'lombok', 'three', 'species', 'native', 'parts', 'one', 'two', 'islands', 'remainder', 'four', 'nonnative', 'region', '2016', '2021', 'conducted', '255', 'surveys', '30', 'animal', 'markets', 'recorded', '6000', 'mynas', 'offered', 'sale', 'outside', 'native', 'range', 'areas', 'risk', 'high', 'prevalence', 'specific', 'animal', 'markets', 'greater', 'jakarta', 'eastern', 'java', 'bali', 'lombok', 'number', 'invasive', 'nonnative', 'mynas', 'recorded', 'positively', 'related', 'size', 'animal', 'market', 'indonesia', 'signatory', 'several', 'international', 'agreements', 'cbd', 'asean', 'policies', 'guidelines', 'prevent', 'introduction', 'invasive', 'nonnative', 'species', 'compliancy', 'weak', 'annually', 'hundreds', 'possibly', 'thousands', 'invasive', 'nonnative', 'mynas', 'released', 'indonesian', 'conservation', 'authorities', 'regions', 'outside', 'native', 'range', 'effective', 'management', 'regulation', 'trade', 'potential', 'invasive', 'nonnative', 'birds', 'indonesia', 'falls', 'short', 'inadvertently', 'greatly', 'aids', 'introduction', 'establishment']"
517,620,"UPPERCASE: current genus Uppercase first letter: generic synonym and See: generic homonyms lowercase: species and subspecies : early names, variants, misspellings â€¡: extinct â€ : type species Gr.: ancient Greek L.: Latin <: derived from syn: synonym of /: separates historical and modern geographic names ex: based on TL: type locality OD: original diagnosis (genus) or original description ... ",Black-naped Oriole,"['uppercase', 'current', 'genus', 'uppercase', 'first', 'letter', 'generic', 'synonym', 'see', 'generic', 'homonyms', 'lowercase', 'species', 'subspecies', 'early', 'names', 'variants', 'misspellings', 'extinct', 'type', 'species', 'gr', 'ancient', 'greek', 'l', 'latin', 'derived', 'syn', 'synonym', 'separates', 'historical', 'modern', 'geographic', 'names', 'ex', 'based', 'tl', 'type', 'locality', 'od', 'original', 'diagnosis', 'genus', 'original', 'description']"
518,621," It is a bird which needs an aquatic environment because it feeds on little creatures living in water, but it also eats insects : it is therefore fond of wetlands and as these are the subject of major habitat protection measures at world level, the Little Egret is no longer threatened.",Little Egret,"['bird', 'needs', 'aquatic', 'environment', 'feeds', 'little', 'creatures', 'living', 'water', 'also', 'eats', 'insects', 'therefore', 'fond', 'wetlands', 'subject', 'major', 'habitat', 'protection', 'measures', 'world', 'level', 'little', 'egret', 'longer', 'threatened']"
519,622,One of the rarest bird species in the world found in UAE is facing a threat to existence,Collared Kingfisher,"['one', 'rarest', 'bird', 'species', 'world', 'found', 'uae', 'facing', 'threat', 'existence']"
520,623,Description. The black-naped oriole is medium-sized and overall golden with a strong pinkish bill and a broad black mask and nape. The adult male has the central tail feathers tipped yellow and the lateral ones are more broadly yellow. The female has the mantle colour more greenish or olive. The juvenile has a streaked underside. ,Black-naped Oriole,"['description', 'blacknaped', 'oriole', 'mediumsized', 'overall', 'golden', 'strong', 'pinkish', 'bill', 'broad', 'black', 'mask', 'nape', 'adult', 'male', 'central', 'tail', 'feathers', 'tipped', 'yellow', 'lateral', 'ones', 'broadly', 'yellow', 'female', 'mantle', 'colour', 'greenish', 'olive', 'juvenile', 'streaked', 'underside']"
521,624,"1 Mar 2022 ï¿½ Originally from Java and Bali, the Javan myna was first introduced to Singapore in the 1920s through caged bird trade. Carl Alexander Gibson-ï¿½...",Javan Myna,"['1', 'mar', '2022', 'originally', 'java', 'bali', 'javan', 'myna', 'first', 'introduced', 'singapore', '1920s', 'caged', 'bird', 'trade', 'carl', 'alexander', 'gibson']"
522,625,"There are 12 species of kingfishers in Khao Sok National Park. The feathers of these species vary greatly in color with the most famous ones being bright blue and rusty red. Kingfishers are about 17 â€“ 35 cm in size (depending on the species). Most of these birds are classified as â€˜lower risk, least concernâ€™, except for the Rufous ... ",Collared Kingfisher,"['12', 'species', 'kingfishers', 'khao', 'sok', 'national', 'park', 'feathers', 'species', 'vary', 'greatly', 'color', 'famous', 'ones', 'bright', 'blue', 'rusty', 'red', 'kingfishers', '17', '35', 'cm', 'size', 'depending', 'species', 'birds', 'classified', 'lower', 'risk', 'least', 'concern', 'except', 'rufous']"
523,626,"Nov 8, 2009 Â·  Collared Kingfisher eats pufferfish. Kiah Ng photographed a Collared Kingfisher ( Todiramphus chloris) eating a pufferfish at Byram, Penang, Malaysia. Writes Kiah, â€œThis morning at Byram Penang, I saw a Collared Kingfisher ate a puffer fish. I thought that puffer fish is very poisonous but the kingfisher was alive and ok. ",Collared Kingfisher,"['nov', '8', '2009', 'collared', 'kingfisher', 'eats', 'pufferfish', 'kiah', 'ng', 'photographed', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'eating', 'pufferfish', 'byram', 'penang', 'malaysia', 'writes', 'kiah', 'morning', 'byram', 'penang', 'saw', 'collared', 'kingfisher', 'ate', 'puffer', 'fish', 'thought', 'puffer', 'fish', 'poisonous', 'kingfisher', 'alive', 'ok']"
524,627,#BlackNapedOriole #Kilyawan #africanlovebirds #birdslover #birds #hagoromo #buhayprobinsya #parakeets #palefallow #lovebirds #petlover #birdsprice #parrot #b...,Black-naped Oriole,"['blacknapedoriole', 'kilyawan', 'africanlovebirds', 'birdslover', 'birds', 'hagoromo', 'buhayprobinsya', 'parakeets', 'palefallow', 'lovebirds', 'petlover', 'birdsprice', 'parrot', 'b']"
525,628,"Javan Myna (Acridotheres javanicus). The bold and social javan Myna is known for foraging in farms, parks, and gardens. It prefers to roost in large and noisy flocks near humans. The javan Myna eats seeds, nectar, insects, and fruit, as well as human waste. In Malaysia and Indonesia, they are kept in cages where they sometimes learn to mimic human speech.",Javan Myna,"['javan', 'myna', 'acridotheres', 'javanicus', 'bold', 'social', 'javan', 'myna', 'known', 'foraging', 'farms', 'parks', 'gardens', 'prefers', 'roost', 'large', 'noisy', 'flocks', 'near', 'humans', 'javan', 'myna', 'eats', 'seeds', 'nectar', 'insects', 'fruit', 'well', 'human', 'waste', 'malaysia', 'indonesia', 'kept', 'cages', 'sometimes', 'learn', 'mimic', 'human', 'speech']"
526,630,"The most widespread is the Black-naped Oriole, Oriolus chinensis, a resident urban garden bird that we share with other countries in Southeast Asia. The most rare among the orioles of the Philippines is the Isabela Oriole, endemic and found only in Luzon and is classified as Critically Endangered. ",Black-naped Oriole,"['widespread', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'resident', 'urban', 'garden', 'bird', 'share', 'countries', 'southeast', 'asia', 'rare', 'among', 'orioles', 'philippines', 'isabela', 'oriole', 'endemic', 'found', 'luzon', 'classified', 'critically', 'endangered']"
527,631,General Identification ï¿½ Diagnosis ï¿½ Breeding Cycle ï¿½ Distribution and Movement in...,Javan Myna,"['general', 'identification', 'diagnosis', 'breeding', 'cycle', 'distribution', 'movement']"
528,635,The black-naped oriole (Oriolus chinensis) is a passerine bird in the oriole family that is found in many parts of Asia. There are several distinctive populations within the wide distribution range of this species and in the past the ,Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'passerine', 'bird', 'oriole', 'family', 'found', 'many', 'parts', 'asia', 'several', 'distinctive', 'populations', 'within', 'wide', 'distribution', 'range', 'species', 'past']"
529,636,"Javan Myna (Acridotheres javanicus), Singapore ; 5760 x 3840 pixels ; 48.77 x 32.51 cm (300 dpi) ; 19.2 x 12.8 inch (300 dpi) ; 14.8 MB size on diskï¿½...",Javan Myna,"['javan', 'myna', 'acridotheres', 'javanicus', 'singapore', '5760', 'x', '3840', 'pixels', '4877', 'x', '3251', 'cm', '300', 'dpi', '192', 'x', '128', 'inch', '300', 'dpi', '148', 'mb', 'size', 'disk']"
530,637,"The similar looking Javan Myna is darker overall and lacks the yellow eye patch. Similar looking species: Javan Myna. Habitat: Open country, villages.",Javan Myna,"['similar', 'looking', 'javan', 'myna', 'darker', 'overall', 'lacks', 'yellow', 'eye', 'patch', 'similar', 'looking', 'species', 'javan', 'myna', 'habitat', 'open', 'country', 'villages']"
531,639,"July 21, 2015 - Birding has many interesting aspects. Birds offer plenty of exciting opportunities for discovery â€“ from learning to the basics of identification to exploring the migratory timing or even just admiring them from your window. One of the most exciting aspects for me, is finding a rare bird.",Little Egret,"['july', '21', '2015', 'birding', 'many', 'interesting', 'aspects', 'birds', 'offer', 'plenty', 'exciting', 'opportunities', 'discovery', 'learning', 'basics', 'identification', 'exploring', 'migratory', 'timing', 'even', 'admiring', 'window', 'one', 'exciting', 'aspects', 'finding', 'rare', 'bird']"
532,640,"January 23, 2017 - This article focuses on identifying Chinese Egret (Egretta eulophotes), a globally Vulnerable species with an estimated world population of fewer than 10,000 (BirdLife International 2017), and in particular, differentiating it from the main confusion species â€“ Little Egret (Egretta garzetta)Â ...",Little Egret,"['january', '23', '2017', 'article', 'focuses', 'identifying', 'chinese', 'egret', 'egretta', 'eulophotes', 'globally', 'vulnerable', 'species', 'estimated', 'world', 'population', 'fewer', '10000', 'birdlife', 'international', '2017', 'particular', 'differentiating', 'main', 'confusion', 'species', 'little', 'egret', 'egretta', 'garzetta']"
533,641,"May 28, 2019 Â·  The Collared Kingfisher is also one of the 304 species of birds which have been identified in the Restorasi Ekosistem Riau (RER) area, where it is observed to be a resident species. Itâ€™s also one out of the eight different species of kingfishers which can be found in RER. Itâ€™s considered to a medium-sized bird, measuring 22 to 29 cm in ... ",Collared Kingfisher,"['may', '28', '2019', 'collared', 'kingfisher', 'also', 'one', '304', 'species', 'birds', 'identified', 'restorasi', 'ekosistem', 'riau', 'rer', 'area', 'observed', 'resident', 'species', 'also', 'one', 'eight', 'different', 'species', 'kingfishers', 'found', 'rer', 'considered', 'mediumsized', 'bird', 'measuring', '22', '29', 'cm']"
534,642,"4 Mar 2020 ï¿½ Javan Myna (Acridotheres javanicus), version 1.0. In Birds of the ... Content Sources. eBird Macaulay Library ï¿½ The Internet Bird Collectionï¿½...",Javan Myna,"['4', 'mar', '2020', 'javan', 'myna', 'acridotheres', 'javanicus', 'version', '10', 'birds', 'content', 'sources', 'ebird', 'macaulay', 'library', 'internet', 'bird', 'collection']"
535,643,"Description. This bird is 20â€“21 cm (7.9â€“8.3 in) long, and weighs 38 g (1.3 oz), with mainly yellow plumage, as its name suggests. The adult male has a black eye mask, thin black throat line, black tail, and black wings, with a white wing bar and some white feather edging. The female is similar, but slightly duller, and the juvenile bird has ... ",Black-naped Oriole,"['description', 'bird', '2021', 'cm', '7983', 'long', 'weighs', '38', 'g', '13', 'oz', 'mainly', 'yellow', 'plumage', 'name', 'suggests', 'adult', 'male', 'black', 'eye', 'mask', 'thin', 'black', 'throat', 'line', 'black', 'tail', 'black', 'wings', 'white', 'wing', 'bar', 'white', 'feather', 'edging', 'female', 'similar', 'slightly', 'duller', 'juvenile', 'bird']"
536,644,"A kingfishers generally hunts by sitting quietly on a high perch and keeping a close lookout of the surrounding for potential prey. Once it spots a prey, it",Collared Kingfisher,"['kingfishers', 'generally', 'hunts', 'sitting', 'quietly', 'high', 'perch', 'keeping', 'close', 'lookout', 'surrounding', 'potential', 'prey', 'spots', 'prey']"
537,645,"The world of birding is filled with challenging groups well known to all, birds like gulls, Empidonax flycatchers or cisticolas that require attention to the tiniest details in order to assign an individual to a specific species (if it can be done at all). Sometimes, however, the God of Birding gets bored of tormenting birders",Collared Kingfisher,"['world', 'birding', 'filled', 'challenging', 'groups', 'well', 'known', 'birds', 'like', 'gulls', 'empidonax', 'flycatchers', 'cisticolas', 'require', 'attention', 'tiniest', 'details', 'order', 'assign', 'individual', 'specific', 'species', 'done', 'sometimes', 'however', 'god', 'birding', 'gets', 'bored', 'tormenting', 'birders']"
538,646,"The male is entirely golden in color except for the black wings and tail as well as the broad, distinctive black eye stripe that stretches up to the nape. The tail and wings of this bird have a patch of yellow while the bill is pink. The male and female black-naped orioles are identical in appearance, but the female's mantle is greenish or ... ",Black-naped Oriole,"['male', 'entirely', 'golden', 'color', 'except', 'black', 'wings', 'tail', 'well', 'broad', 'distinctive', 'black', 'eye', 'stripe', 'stretches', 'nape', 'tail', 'wings', 'bird', 'patch', 'yellow', 'bill', 'pink', 'male', 'female', 'blacknaped', 'orioles', 'identical', 'appearance', 'females', 'mantle', 'greenish']"
539,647,"The Baltimore oriole is one of the few birds in North america that has orange colored feathers, it's sounds are here. ... Black naped oriole - India. $0.99. Play ... ",Black-naped Oriole,"['baltimore', 'oriole', 'one', 'birds', 'north', 'america', 'orange', 'colored', 'feathers', 'sounds', 'black', 'naped', 'oriole', 'india', '099', 'play']"
540,648,Bali Myna (Leucopsar rothschildi) â€“ CR ï¿½ Nias Hill myna (Gracula robusta) â€“ CR ï¿½ Javan green magpie (Cissa thalassina) â€“ CR ï¿½ Sumatran laughinghthrush (Garrulaxï¿½...,Javan Myna,"['bali', 'myna', 'leucopsar', 'rothschildi', 'cr', 'nias', 'hill', 'myna', 'gracula', 'robusta', 'cr', 'javan', 'green', 'magpie', 'cissa', 'thalassina', 'cr', 'sumatran', 'laughinghthrush', 'garrulax']"
541,649,"The Black-naped Orioles, Oriolus chinensis, is found in south Asia, where it occurs on the Andaman and Nicobar Islands.",Black-naped Oriole,"['blacknaped', 'orioles', 'oriolus', 'chinensis', 'found', 'south', 'asia', 'occurs', 'andaman', 'nicobar', 'islands']"
542,650,Description. The Black-naped Orioles is is easily differentiated from the Golden Oriole by the broad black-eye stripe continuing to join on the nape (back of the neck). The bill is also stouter than that of the former species. ,Black-naped Oriole,"['description', 'blacknaped', 'orioles', 'easily', 'differentiated', 'golden', 'oriole', 'broad', 'blackeye', 'stripe', 'continuing', 'join', 'nape', 'back', 'neck', 'bill', 'also', 'stouter', 'former', 'species']"
543,653,"26 Jul 2012 ï¿½ In addition, the Common Myna has a yellow patch of bare skin around each eye, which the Javan Myna lacks. Aside from those features, the Commonï¿½...",Javan Myna,"['26', 'jul', '2012', 'addition', 'common', 'myna', 'yellow', 'patch', 'bare', 'skin', 'around', 'eye', 'javan', 'myna', 'lacks', 'aside', 'features', 'common']"
544,654, Atlas of Living Australia species page for the Egretta garzetta,Little Egret,"['atlas', 'living', 'australia', 'species', 'page', 'egretta', 'garzetta']"
545,655,"Published: July 31, 2018 Views: 1M",Little Egret,"['published', 'july', '31', '2018', 'views', '1m']"
546,656,A species of the collared kingfisher unique to the UAE and Oman is in danger of extinction because development has destroyed much of its mangrove habitat.,Collared Kingfisher,"['species', 'collared', 'kingfisher', 'unique', 'uae', 'oman', 'danger', 'extinction', 'development', 'destroyed', 'much', 'mangrove', 'habitat']"
547,657,"Large kingfisher with variable plumage, but always appears as a much greener and browner bird than either Forest or Sacred kingfishers. Note pale spot in front of the eyes that does not extend back over the eye. Occur exclusively among mangroves and adjacent mudflats and rock-shelves.",Collared Kingfisher,"['large', 'kingfisher', 'variable', 'plumage', 'always', 'appears', 'much', 'greener', 'browner', 'bird', 'either', 'forest', 'sacred', 'kingfishers', 'note', 'pale', 'spot', 'front', 'eyes', 'extend', 'back', 'eye', 'occur', 'exclusively', 'among', 'mangroves', 'adjacent', 'mudflats', 'rockshelves']"
548,658,"OSTRICH, THE JAVAN MYNA GETS HIS FREEDOM

Every now and then, we come across odd rescue situations. This rescue we faced at 231 Yishun Street 21 was one...",Javan Myna,"['ostrich', 'javan', 'myna', 'gets', 'freedom', 'every', 'come', 'across', 'odd', 'rescue', 'situations', 'rescue', 'faced', '231', 'yishun', 'street', '21', 'one']"
549,659,Common myna. 2. Javan myna. 3. Asian glossy starling. 4. Oriental white-eye. 5. Eurasian tree sparrow. 6. Rock pigeon. 7. Spotted dove. 8. Zebra dove. 9. Pink-ï¿½...,Javan Myna,"['common', 'myna', '2', 'javan', 'myna', '3', 'asian', 'glossy', 'starling', '4', 'oriental', 'whiteeye', '5', 'eurasian', 'tree', 'sparrow', '6', 'rock', 'pigeon', '7', 'spotted', 'dove', '8', 'zebra', 'dove', '9', 'pink']"
550,660,"The collared kingfisher (Todiramphus chloris) is a medium-sized kingfisher belonging to the subfamily Halcyoninae, the tree kingfishers. It is also known as the white-collared kingfisher, black-masked kingfisher or mangrove kingfisher. It has a wide range extending from the Red Sea across southern Asia to Polynesia. ",Collared Kingfisher,"['collared', 'kingfisher', 'todiramphus', 'chloris', 'mediumsized', 'kingfisher', 'belonging', 'subfamily', 'halcyoninae', 'tree', 'kingfishers', 'also', 'known', 'whitecollared', 'kingfisher', 'blackmasked', 'kingfisher', 'mangrove', 'kingfisher', 'wide', 'range', 'extending', 'red', 'sea', 'across', 'southern', 'asia', 'polynesia']"
551,661,"May 19, 2022 - Often thought of as a newcomer, the Little Egret is actually making a triumphant return to waterways around the UK.",Little Egret,"['may', '19', '2022', 'often', 'thought', 'newcomer', 'little', 'egret', 'actually', 'making', 'triumphant', 'return', 'waterways', 'around', 'uk']"
552,662,"Having boarded a plane in Singapore, a Javan Myna was found in business class on a flight to London. ",Javan Myna,"['boarded', 'plane', 'singapore', 'javan', 'myna', 'found', 'business', 'class', 'flight', 'london']"
553,663,"black-naped oriole LinnÃ©, 1766: L 'loriot nucanera (black-naped oriole LinnÃ©, 1766) Il est oiseau de famille de Oriolidi, de l'original 'Asie du Sud ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'linn', '1766', 'l', 'loriot', 'nucanera', 'blacknaped', 'oriole', 'linn', '1766', 'il', 'est', 'oiseau', 'de', 'famille', 'de', 'oriolidi', 'de', 'loriginal', 'asie', 'du', 'sud']"
554,664,species of bird ,Black-naped Oriole,"['species', 'bird']"
555,665,The Black-naped Oriole ( Oriolus chinensis) feeds on a wide range of food that includes insects and fruits. It can be commonly seen foraging along forest edge and gardens. Cheong Wen Chunâ€™s study of the Black-naped Oriole eating a mango ( Mangifera indica) adds on to its list of plant food. Wells (2007) lists common garden fruits like papaya ... ,Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'feeds', 'wide', 'range', 'food', 'includes', 'insects', 'fruits', 'commonly', 'seen', 'foraging', 'along', 'forest', 'edge', 'gardens', 'cheong', 'wen', 'chuns', 'study', 'blacknaped', 'oriole', 'eating', 'mango', 'mangifera', 'indica', 'adds', 'list', 'plant', 'food', 'wells', '2007', 'lists', 'common', 'garden', 'fruits', 'like', 'papaya']"
556,666, This domain may be for sale,Little Egret,"['domain', 'may', 'sale']"
557,671,"11 Mar 2022 ï¿½ Javan myna is a crested bird, seen in Bali, Java, Singapore, Thailand, Indonesia, and introduced in Taiwan and other international countriesï¿½...",Javan Myna,"['11', 'mar', '2022', 'javan', 'myna', 'crested', 'bird', 'seen', 'bali', 'java', 'singapore', 'thailand', 'indonesia', 'introduced', 'taiwan', 'international', 'countries']"
558,673,"The largest kingfisher in Africa is the giant kingfisher (Megaceryle maxima), which is 42 to 46 cm (17 to 18 in) in length and 255â€“426 g (9.0â€“15.0 oz) in weight. The common Australian kingfisher, known as the laughing kookaburra (Dacelo novaeguineae), is the heaviest species, with females reaching nearly 500 g (18 oz) in weight. ",Collared Kingfisher,"['largest', 'kingfisher', 'africa', 'giant', 'kingfisher', 'megaceryle', 'maxima', '42', '46', 'cm', '17', '18', 'length', '255426', 'g', '90150', 'oz', 'weight', 'common', 'australian', 'kingfisher', 'known', 'laughing', 'kookaburra', 'dacelo', 'novaeguineae', 'heaviest', 'species', 'females', 'reaching', 'nearly', '500', 'g', '18', 'oz', 'weight']"
559,674,species of bird,Black-naped Oriole,"['species', 'bird']"
560,676,"Description. Todiramphus chloris upper coat color varies from blue to greenish while the underside is white. There is a white collar around the neck, giving the bird its name. Some breeds have a white stripe on the eye while others have a white spot between the eye and the beak. Large beak is black with pale yellow base color. ",Collared Kingfisher,"['description', 'todiramphus', 'chloris', 'upper', 'coat', 'color', 'varies', 'blue', 'greenish', 'underside', 'white', 'white', 'collar', 'around', 'neck', 'giving', 'bird', 'name', 'breeds', 'white', 'stripe', 'eye', 'others', 'white', 'spot', 'eye', 'beak', 'large', 'beak', 'black', 'pale', 'yellow', 'base', 'color']"
561,677, Research more than 100 Million voter records for free.,Little Egret,"['research', '100', 'million', 'voter', 'records', 'free']"
562,678,"Black-naped Oriole is a medium-sized yellow and black bird. The male is bright yellow except for a broad black stripe through the eye, widening into a broader black band around the nape and hind crown, and black-and-yellow wings and tail. The female and subadult male are similar but the mantle is yellow-olive; the immature is yellowish-green ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'mediumsized', 'yellow', 'black', 'bird', 'male', 'bright', 'yellow', 'except', 'broad', 'black', 'stripe', 'eye', 'widening', 'broader', 'black', 'band', 'around', 'nape', 'hind', 'crown', 'blackandyellow', 'wings', 'tail', 'female', 'subadult', 'male', 'similar', 'mantle', 'yellowolive', 'immature', 'yellowishgreen']"
563,679,Video of Sound Frequency,Black-naped Oriole,"['video', 'sound', 'frequency']"
564,680,"Learn about Black-naped Oriole (Sunda): explore photos, sounds, and observations collected by birders around the world.",Black-naped Oriole,"['learn', 'blacknaped', 'oriole', 'sunda', 'explore', 'photos', 'sounds', 'observations', 'collected', 'birders', 'around', 'world']"
565,681,"In June 2013, Goh Juan Hui documented a variety of food the adult Collared Kingfishers (Todiramphus chloris) brought back to feed the young at the nest. The",Collared Kingfisher,"['june', '2013', 'goh', 'juan', 'hui', 'documented', 'variety', 'food', 'adult', 'collared', 'kingfishers', 'todiramphus', 'chloris', 'brought', 'back', 'feed', 'young', 'nest']"
566,682,"The Khor Kalba Conservation Reserve, managed by the Environment and Protected Areas Authority (EPAA), also provides habitat for the Arabian collared kingfisher (Todiramphus chloris kalbaensis), an endemic species which can only be found in Kalba. ",Collared Kingfisher,"['khor', 'kalba', 'conservation', 'reserve', 'managed', 'environment', 'protected', 'areas', 'authority', 'epaa', 'also', 'provides', 'habitat', 'arabian', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'kalbaensis', 'endemic', 'species', 'found', 'kalba']"
567,683,"4 Jun 2009 ï¿½ Javan Myna (Acridotheres javanicus): Also known as the white-vented myna, this bird ""invaded"" Taiwan before 1994. A member of the Starlingï¿½...",Javan Myna,"['4', 'jun', '2009', 'javan', 'myna', 'acridotheres', 'javanicus', 'also', 'known', 'whitevented', 'myna', 'bird', 'invaded', 'taiwan', '1994', 'member', 'starling']"
568,684,"File:Oriole (29517910378).jpg (file redirect) Metadata This file contains additional information such as Exif metadata which may have been added by the digital camera, scanner, or software program used to create or digitize it. ",Black-naped Oriole,"['fileoriole', '29517910378jpg', 'file', 'redirect', 'metadata', 'file', 'contains', 'additional', 'information', 'exif', 'metadata', 'may', 'added', 'digital', 'camera', 'scanner', 'software', 'program', 'used', 'create', 'digitize']"
569,685,"Dec 10, 2011 Â·  The rare collared kingfisher of the Kalba mangrove swamps is in danger of extinction because of coastal development. Courtesy Ahmed Al Ali. While it does not receive the same attention as the Arabian oryx, dugong or marine turtle, the straits that the collared kingfisher finds itself in are no less dire. Put simply, if the mangroves it calls ... ",Collared Kingfisher,"['dec', '10', '2011', 'rare', 'collared', 'kingfisher', 'kalba', 'mangrove', 'swamps', 'danger', 'extinction', 'coastal', 'development', 'courtesy', 'ahmed', 'al', 'ali', 'receive', 'attention', 'arabian', 'oryx', 'dugong', 'marine', 'turtle', 'straits', 'collared', 'kingfisher', 'finds', 'less', 'dire', 'put', 'simply', 'mangroves', 'calls']"
570,686,"Learn about the size, diet, population, habitat, behavior and other interesting facts about White-Collared Kingfisher.",Collared Kingfisher,"['learn', 'size', 'diet', 'population', 'habitat', 'behavior', 'interesting', 'facts', 'whitecollared', 'kingfisher']"
571,687,"3. Diagnosis 3.1. Sacred kingfisher. The collared kingfisher may be confused with the sacred kingfisher (T. sanctus), a closely related species with similar appearance.. The latter is a rare visitor to Singapore and can be differentiated from the collared kingfisher by its smaller size (18-23 cm in length), blackish-green head, and yellowish-buff supercilium, nape and flanks (underpart above ... ",Collared Kingfisher,"['3', 'diagnosis', '31', 'sacred', 'kingfisher', 'collared', 'kingfisher', 'may', 'confused', 'sacred', 'kingfisher', 'sanctus', 'closely', 'related', 'species', 'similar', 'appearance', 'latter', 'rare', 'visitor', 'singapore', 'differentiated', 'collared', 'kingfisher', 'smaller', 'size', '1823', 'cm', 'length', 'blackishgreen', 'head', 'yellowishbuff', 'supercilium', 'nape', 'flanks', 'underpart']"
572,688, The Hong Kong Bird Watching Society (HKBWS) had initiated the first egret tracking study in Hong Kong by using GPS-logging devices to explore their local movement and migratory route. A total of 15 Little Egrets were captured and mounted with GPS-logging devices.,Little Egret,"['hong', 'kong', 'bird', 'watching', 'society', 'hkbws', 'initiated', 'first', 'egret', 'tracking', 'study', 'hong', 'kong', 'using', 'gpslogging', 'devices', 'explore', 'local', 'movement', 'migratory', 'route', 'total', '15', 'little', 'egrets', 'captured', 'mounted', 'gpslogging', 'devices']"
573,689,"Brilliantly colored but often elusive and difficult to spot in the gloom of the forest. Male is bright blue above and orange below with a green cap. Female replaces maleâ€™s blue with cream-spotted green. Broad black, blue, and orange stripes across the face distinguish this species from other kingfishers in range. Whistles pleasantly and persistently, often while perched low above the forest floor in shaded areas.",Collared Kingfisher,"['brilliantly', 'colored', 'often', 'elusive', 'difficult', 'spot', 'gloom', 'forest', 'male', 'bright', 'blue', 'orange', 'green', 'cap', 'female', 'replaces', 'males', 'blue', 'creamspotted', 'green', 'broad', 'black', 'blue', 'orange', 'stripes', 'across', 'face', 'distinguish', 'species', 'kingfishers', 'range', 'whistles', 'pleasantly', 'persistently', 'often', 'perched', 'low', 'forest', 'floor', 'shaded', 'areas']"
574,690,The black-naped oriole is medium-sized and overall golden with a strong pinkish bill and a broad black mask and nape. The adult male has the central tail feathers tipped yellow and the lateral ones are more broadly yellow. The female has the mantle colour more greenish or olive. The juvenile has a streaked underside. ,Black-naped Oriole,"['blacknaped', 'oriole', 'mediumsized', 'overall', 'golden', 'strong', 'pinkish', 'bill', 'broad', 'black', 'mask', 'nape', 'adult', 'male', 'central', 'tail', 'feathers', 'tipped', 'yellow', 'lateral', 'ones', 'broadly', 'yellow', 'female', 'mantle', 'colour', 'greenish', 'olive', 'juvenile', 'streaked', 'underside']"
